,Date,Closing Price,B Rating,5 Year Rate,Yield Spread,S&P 500 Returns,Yield Spread Returns,Correl55day,55Day std,55Day Mean,55Z-Score,,signal,Long/Short
315,12/14/1998,1148,10.69,4.35,6.34,-0.0233943,0.017656501,-0.260634586,0.139626709,-0.473770893,1.526472321,,0,
316,12/15/1998,1174.5,10.68,4.39,6.29,0.023083624,-0.007886435,-0.26379036,0.141827028,-0.468231758,1.441484049,,0,
317,12/16/1998,1175.25,10.71,4.34,6.37,0.00063857,0.012718601,-0.262060683,0.143806758,-0.462642213,1.394799059,,0,
318,12/17/1998,1192.5,10.71,4.34,6.37,0.014677728,0,-0.26157939,0.145629673,-0.457143776,1.342888315,,0,
319,12/18/1998,1197.25,10.71,4.38,6.33,0.003983229,-0.006279435,-0.26257132,0.147152481,-0.451606421,1.284620543,,0,
320,12/21/1998,1223.5,10.72,4.45,6.27,0.021925245,-0.009478673,-0.212098092,0.149653259,-0.445031927,1.556490227,,0,
321,12/22/1998,1226,10.71,4.5,6.21,0.002043318,-0.009569378,-0.16352444,0.153317685,-0.437595627,1.787603216,,0,
322,12/23/1998,1250,10.7,4.65,6.05,0.019575856,-0.025764895,-0.198275124,0.155592804,-0.430884521,1.49498814,,0,
323,12/24/1998,1250.75,10.7,4.74,5.96,0.0006,-0.014876033,-0.089330087,0.160896278,-0.421997508,2.067589294,,0,
324,12/28/1998,1242.25,10.68,4.66,6.02,-0.006795922,0.010067114,-0.09932619,0.16503468,-0.41314487,1.90153172,,0,
325,12/29/1998,1263,10.69,4.6,6.09,0.016703562,0.011627907,-0.075198278,0.16950168,-0.403913505,1.939303654,,0,
326,12/30/1998,1263,10.68,4.55,6.13,0,0.006568144,-0.04135815,0.174597361,-0.394096617,2.020296679,,0,
327,12/31/1998,1251,10.79,4.56,6.23,-0.009501188,0.016313214,-0.063370248,0.177810029,-0.38431405,1.804981444,,0,
328,1/4/1999,1241.75,10.77,4.57,6.2,-0.007394085,-0.004815409,-0.073242867,0.180111867,-0.374708078,1.673766505,,0,
329,1/5/1999,1266,10.76,4.62,6.14,0.019528891,-0.009677419,-0.10582387,0.181305842,-0.365970997,1.434852425,,0,
330,1/6/1999,1295,10.74,4.61,6.13,0.022906793,-0.001628664,-0.146216941,0.181161414,-0.358007385,1.169070384,,0,
331,1/7/1999,1281.25,10.73,4.62,6.11,-0.010617761,-0.003262643,-0.155507304,0.180257405,-0.350054921,1.079276694,,0,
332,1/8/1999,1296,10.69,4.72,5.97,0.011512195,-0.022913257,-0.168106127,0.178875068,-0.342417166,0.974484825,,0,
333,1/11/1999,1280,10.7,4.76,5.94,-0.012345679,-0.005025126,-0.16593961,0.177484999,-0.334951132,0.952258066,,0,
334,1/12/1999,1254.5,10.71,4.68,6.03,-0.019921875,0.015151515,-0.208749148,0.175249364,-0.328349584,0.682458605,,0,
335,1/13/1999,1258.5,10.79,4.6,6.19,0.003188521,0.026533997,-0.193716501,0.172739781,-0.321352902,0.738894081,,0,
336,1/14/1999,1230.5,10.79,4.48,6.31,-0.022248709,0.019386107,-0.267642137,0.169941322,-0.316182704,0.285631335,,0,
337,1/15/1999,1263.5,10.78,4.54,6.24,0.026818367,-0.011093502,-0.275048554,0.166948563,-0.311180108,0.216423272,,0,
338,1/19/1999,1272.25,10.73,4.6,6.13,0.006925208,-0.017628205,-0.272199094,0.163794302,-0.306150974,0.207283643,,0,
339,1/20/1999,1278.25,10.71,4.65,6.06,0.004716054,-0.01141925,-0.266933503,0.160417249,-0.301013728,0.212447387,,0,
340,1/21/1999,1253.25,10.71,4.6,6.11,-0.019557989,0.008250825,-0.302976806,0.156851603,-0.296595116,-0.040686169,,0,
341,1/22/1999,1242.5,10.73,4.54,6.19,-0.008577698,0.01309329,-0.282343594,0.152806426,-0.291647404,0.060886248,,0,
342,1/25/1999,1248.25,10.68,4.55,6.13,0.004627767,-0.009693053,-0.30059078,0.148910295,-0.287264486,-0.089492094,,0,
343,1/26/1999,1275,10.67,4.58,6.09,0.021430002,-0.006525285,-0.300766881,0.144904413,-0.282956576,-0.122910713,,0,
344,1/27/1999,1260.75,10.64,4.57,6.07,-0.011176471,-0.003284072,-0.29297934,0.140200345,-0.278283159,-0.104822716,,0,
345,1/28/1999,1282.25,10.62,4.57,6.05,0.017053341,-0.003294893,-0.287715837,0.135143906,-0.273508104,-0.105130401,,0,
346,1/29/1999,1298,10.62,4.55,6.07,0.012283096,0.003305785,-0.27768435,0.129752471,-0.268578188,-0.070181028,,0,
347,2/1/1999,1299,10.62,4.65,5.97,0.000770416,-0.016474465,-0.27953254,0.124253607,-0.263821363,-0.12644444,,0,
348,2/2/1999,1277.25,10.66,4.7,5.96,-0.016743649,-0.001675042,-0.281541882,0.118155518,-0.259037095,-0.190467501,,0,
349,2/3/1999,1290,10.67,4.74,5.93,0.009982384,-0.005033557,-0.292172745,0.111883176,-0.254564478,-0.336138718,,0,
350,2/4/1999,1268.25,10.67,4.82,5.85,-0.016860465,-0.013490725,-0.260700349,0.104794799,-0.249483668,-0.10703471,,0,
351,2/5/1999,1256.75,10.68,4.88,5.8,-0.009067613,-0.008547009,-0.25858118,0.097252047,-0.244474501,-0.145052773,,0,
352,2/8/1999,1256,10.65,4.86,5.79,-0.000596777,-0.001724138,-0.248589745,0.091948265,-0.240352891,-0.089581394,,0,
353,2/9/1999,1232.75,10.65,4.78,5.87,-0.018511146,0.013816926,-0.269822645,0.086272547,-0.236635132,-0.384682198,,0,
354,2/10/1999,1239.75,10.65,4.79,5.86,0.005678361,-0.001703578,-0.266968772,0.085257551,-0.235347638,-0.370889546,,0,
355,2/11/1999,1273.25,10.64,4.83,5.81,0.027021577,-0.008532423,-0.278703578,0.082756514,-0.233299314,-0.548648818,,0,
356,2/12/1999,1244.5,10.65,4.96,5.69,-0.022580012,-0.020654045,-0.223545332,0.079364319,-0.230015113,0.081520031,,0,
357,2/16/1999,1257,10.64,4.96,5.68,0.010044194,-0.001757469,-0.228161402,0.076079727,-0.226989913,-0.015398174,,0,
358,2/17/1999,1235.25,10.66,4.91,5.75,-0.017303103,0.012323944,-0.247943627,0.072786014,-0.224408322,-0.323349278,,0,
359,2/18/1999,1254,10.67,4.96,5.71,0.015179114,-0.006956522,-0.255732888,0.068517404,-0.221668002,-0.497171288,,0,
360,2/19/1999,1257.25,10.7,4.99,5.71,0.002591707,-1.11E-16,-0.408396017,0.072284795,-0.223654026,-2.555751751,,-2.555751751,
361,2/22/1999,1286.75,10.74,4.95,5.79,0.023463909,0.014010508,-0.378464273,0.075150878,-0.226901936,-2.016773992,,0,
362,2/23/1999,1286.25,10.75,5.04,5.71,-0.000388576,-0.013816926,-0.378327423,0.077798459,-0.230066463,-1.905705594,,0,
363,2/24/1999,1263,10.76,5.12,5.64,-0.018075802,-0.012259194,-0.343765839,0.079229549,-0.23252388,-1.404046352,,0,
